time,mu1,mu2,mu3,sigma1,sigma2,sigma3
13/3/19 14:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/20 09:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/20 09:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/20 09:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/20 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/20 10:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/20 10:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/20 10:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/20 10:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/20 10:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/20 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/20 11:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/20 11:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/20 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/20 13:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/20 13:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/20 13:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/20 13:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/20 13:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/20 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/20 14:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/20 14:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/20 14:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/20 14:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/20 14:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/21 09:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/21 09:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/21 09:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/21 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/21 10:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/21 10:20,0.0,0.0,0.0,0.0,0.0,0.0
13/3/21 10:30,0.0,0.0,0.0,0.0,0.0,0.0
13/3/21 10:40,0.0,0.0,0.0,0.0,0.0,0.0
13/3/21 10:50,0.0,0.0,0.0,0.0,0.0,0.0
13/3/21 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/3/21 11:10,0.0,0.0,0.0,0.0,0.0,0.0
13/3/21 11:20,0.0,0.0,0.0,0.0,0.0,0.0
