time,x11,x12,x13,x21,x22,x23,x31,x32,x33
13/12/2 10:30,0.653592013675,0.00163412202025,0.344773864305,0.00658499183256,0.934841089622,0.0585739185459,0.00601098229029,0.134995739721,0.858993277989
13/12/2 10:40,0.653564606827,0.00162863984409,0.344806753328,0.00661533031199,0.934685947275,0.0586987224126,0.00596284696812,0.135197890077,0.858839262955
13/12/2 10:50,0.652550215981,0.00175451862462,0.345695265394,0.00654839577276,0.935193425577,0.0582581786507,0.0060715495937,0.13389539387,0.860033056536
13/12/2 11:00,0.652523206062,0.00177964441846,0.34569714952,0.00658643381148,0.935103367931,0.0583101982577,0.00602545415727,0.133899597442,0.860074948401
13/12/2 11:10,0.652127500509,0.00181800088103,0.34605449861,0.0066015241811,0.935237565387,0.058160910432,0.00604544219886,0.133290813534,0.860663744267
13/12/2 11:20,0.650004260864,0.00186609002164,0.348129649115,0.00634884683069,0.935691506152,0.0579596470171,0.00641826808411,0.133510024909,0.860071707006
13/12/2 13:00,0.650022179054,0.00163722618195,0.348340594764,0.00635082450107,0.935867119761,0.057782055738,0.00632405422346,0.133466793649,0.860209152127
13/12/2 13:10,0.649464922306,0.00162952669676,0.348905550998,0.00637567154668,0.935893220608,0.0577311078449,0.00627590259368,0.133224060738,0.860500036669
13/12/2 13:20,0.649051844269,0.00164704460956,0.349301111121,0.00637486472199,0.936161831164,0.0574633041143,0.00627047133033,0.132480482178,0.861249046491
13/12/2 13:30,0.649024348274,0.00159553490057,0.349380116826,0.00640308471536,0.936058956135,0.0575379591501,0.00623879195929,0.132599641476,0.861161566565
13/12/2 13:40,0.648970356029,0.00159786272093,0.34943178125,0.00642284814085,0.936063254737,0.0575138971219,0.00623043309765,0.132481660045,0.861287906857
13/12/2 13:50,0.649583858018,0.00150714462074,0.348908997361,0.00642131830121,0.93585442736,0.0577242543385,0.00618634452538,0.133268360747,0.860545294728
13/12/2 14:00,0.649997475368,0.00146302478874,0.348539499843,0.00641492485843,0.935706514929,0.0578785602128,0.00615874899732,0.133889131088,0.859952119914
13/12/2 14:10,0.650221638158,0.00145295181544,0.348325410027,0.00641113549361,0.935692800919,0.0578960635871,0.00613807196913,0.134126412002,0.859735516028
13/12/2 14:20,0.65036484707,0.0014369765085,0.348198176421,0.00640401347514,0.935640351203,0.0579556353221,0.0061305784154,0.134422668472,0.859446753113
13/12/2 14:30,0.650434433673,0.00141476973498,0.348150796592,0.00639857431913,0.9355955061,0.0580059195807,0.0061329581608,0.134560271523,0.859306770317
13/12/2 14:40,0.650599981083,0.00142113964332,0.347978879274,0.00639306669264,0.935628847314,0.0579780859931,0.00611292902599,0.134732159925,0.859154911049
13/12/2 14:50,0.650470040776,0.00142899733389,0.348100961891,0.00639113368505,0.93566625724,0.0579426090752,0.00612570030368,0.134647961877,0.859226337819
