time,mu1,mu2,mu3,sigma1,sigma2,sigma3
13/5/30 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/30 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/30 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/30 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/31 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/31 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/31 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/5/31 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/3 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/3 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/3 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/3 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/4 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/4 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/4 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/4 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/5 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/5 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/5 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/5 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/6 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/6 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/6 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/6 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/7 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/7 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/7 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/7 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/13 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/13 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/13 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/13 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/14 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/14 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/14 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/14 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/17 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/17 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/17 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/17 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/18 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/18 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/18 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/18 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/19 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/19 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/19 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/19 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/20 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/20 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/20 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/20 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/21 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/21 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/21 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/21 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/24 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/24 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/24 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/24 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/25 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/25 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/25 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/25 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/26 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/26 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/26 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/26 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/27 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/27 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/27 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/27 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/28 10:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/28 11:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/28 13:00,0.0,0.0,0.0,0.0,0.0,0.0
13/6/28 14:00,0.0,0.0,0.0,0.0,0.0,0.0
13/7/1 10:00,0.0,0.0,0.0,0.0,0.0,0.0
